"LOCATION","STATUS","DESCRIPTION","ADDRESS1","ADDRESS2","CITY","STATE","ZIP"
"L0088","A","San Ramon","140 Sunset Drive"," ","San Ramon","CA","94583"
"L0089","A","Sanger","1321 Jensen Avenue"," ","Sanger","CA","93657"
"L0090","A","Santa Ana Main","103 East Memory Lane"," ","Santa Ana","CA","92705"
"L0091","A","Santa Barbara Main","1036 State Street"," ","Santa Barbara","CA","93101"
"L0092","A","Santa Barbara Northside","3780 State Street"," ","Santa Barbara","CA","93105"
"L0093","A","Santa Fe Springs","11955 E Slauson Avenue"," ","Santa Fe Springs","CA","90670"
"L0094","A","Santa Monica","407 Colorado Avenue"," ","Santa Monica","CA","90401"
"L0095","A","Shaw West","2110 W Shaw Avenue"," ","Fresno","CA","93711"
"L0096","A","Sherman Oaks","15165 Ventura Blvd"," ","Sherman Oaks","CA","91403"
"L0098","A","Sierra Madre","100 W Sierra Madre Blvd"," ","Sierra Madre","CA","91024"
"L0100","A","South Bay","19191 S Vermont Avenue","Suite 150","Torrance","CA","90502"
"L0101","A","South Coast","3931 S Bristol Street"," ","Santa Ana","CA","92704"
"L0102","A","South El Monte","2041 Durfee Avenue"," ","So. El Monte","CA","91733"
"L0103","A","South Gate","12135 S Garfield Avenue"," ","South Gate","CA","90280"
"L0104","A","South Huntington Beach","19006 Brookhurst St"," ","Huntington Beach","CA","92646"
"L0105","A","South Pasadena","1833 N Atlantic Blvd"," ","So. Pasadena","CA","91030"
"L0106","A","2248 Westborough Blvd","2248 Westborough Blvd","Suite 107","So. San Francisco","CA","94080"
"L0107","A","Stanton","11051 Beach Blvd"," ","Stanton","CA","90680"
"L0109","A","Tehachapi","758 Tucker Road"," ","Tehachapi","CA","93561"
"L0110","A","Temescal","4900 Telegraph"," ","Oakland","CA","94609"
"L0111","A","Temple City","9934 E Las Tunas Drive"," ","Temple City","CA","91780"
"L0112","A","Thousand Oaks","180 N Moorpark Road"," ","Thousand Oaks","CA","91360"
"L0113","A","Torrance","23865 Hawthorne Blvd"," ","Torrance","CA","90505"
"L0114","A","Tustin","701 E First Street"," ","Tustin","CA","92780"
"L0115","A","Union City","33301 Alvarado Niles Road"," ","Union City","CA","94587"
"L0117","A","West Covina","401 S Glendora Avenue"," ","West Covina","CA","91790"
"L0118","A","West Los Angeles","10929 Wilshire Blvd"," ","Los Angeles","CA","90024"
"L0119","A","Westminster","7751 Westminster Avenue"," ","Westminster","CA","92683"
"L0120","A","Wilshire Square","3347 Wilshire Blvd"," ","Los Angeles","CA","90010"
"L0121","A","Woodland Hills","19858 Ventura Blvd"," ","Woodland Hills","CA","91364"
"L0122","A","San Jose Main","50 W San Fernando Street"," ","San Jose","CA","95113"
"L0123","A","Bascom-San Carlos","2210 Business Circle"," ","San Jose","CA","95128"
"L0124","A","Mayfair","987 E Santa Clara Street"," ","San Jose","CA","95116"
"L0125","A","First-Willow","1010 South First Street"," ","San Jose","CA","95110"
